UNIVERSITAS;PROGRAM STUDI;JENJANG;KEKETATAN;DAYA TAMPUNG 2024;PEMINAT;RATA-RATA;Column1
INSTITUT PERTANIAN BOGOR;MANAJEMEN SUMBERDAYA LAHAN;S1;9,252669039;26;281;615,13;TRUE
INSTITUT PERTANIAN BOGOR;MANAJEMEN SUMBERDAYA PERAIRAN;S1;10,41666667;30;288;610,44;TRUE
INSTITUT PERTANIAN BOGOR;MATEMATIKA;S1;11,62790698;30;258;644,66;TRUE
INSTITUT PERTANIAN BOGOR;METEOROLOGI TERAPAN;S1;11,23595506;30;267;635,37;TRUE
INSTITUT PERTANIAN BOGOR;NUTRISI DAN TEKNOLOGI PAKAN;S1;11,1627907;48;430;612,14;TRUE
INSTITUT PERTANIAN BOGOR;PARAMEDIK VETERINER;D4;20,58823529;21;102;675,86;TRUE
INSTITUT PERTANIAN BOGOR;PROTEKSI TANAMAN;S1;13,57466063;30;221;613,49;TRUE
INSTITUT PERTANIAN BOGOR;SAINS BIOMEDIS;S1;4,08719346;15;367;636,75;TRUE
INSTITUT PERTANIAN BOGOR;SILVIKULTUR;S1;10,74918567;33;307;599,96;TRUE
INSTITUT PERTANIAN BOGOR;SMART AGRICULTURE;S1;12,24489796;12;98;622,41;TRUE
INSTITUT PERTANIAN BOGOR;STATISTIKA DAN SAINS DATA;S1;4,295942721;36;838;809,11;TRUE
INSTITUT PERTANIAN BOGOR;SUPERVISOR JAMINAN MUTU PANGAN;D4;17,28395062;42;243;712,46;TRUE
INSTITUT PERTANIAN BOGOR;TEKNIK DAN MANAJEMEN LINGKUNGAN;D4;19,17808219;42;219;687,87;TRUE
INSTITUT PERTANIAN BOGOR;TEKNIK INDUSTRI PERTANIAN;S1;7,169117647;39;544;613,21;TRUE
INSTITUT PERTANIAN BOGOR;TEKNIK PERTANIAN DAN BIOSISTEM;S1;10,49562682;36;343;650,1;TRUE
INSTITUT PERTANIAN BOGOR;TEKNIK SIPIL DAN LINGKUNGAN;S1;4,137931034;30;725;727,59;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI & MANAJEMEN PERIKANAN BUDIDAYA;S1;12,12121212;36;297;611,99;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI & MANAJEMEN PERIKANAN TANGKAP;S1;9,036144578;30;332;621,3;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI DAN MANAJEMEN PEMBENIHAN IKAN;D4;36,20689655;21;58;632,13;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI DAN MANAJEMEN PEMBENIHAN IKAN (KAMPUS SUKABUMI);D4;104,3478261;24;23;662,07;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI DAN MANAJEMEN TERNAK;D4;18,42105263;21;114;635,19;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI DAN MANAJEMEN TERNAK (KAMPUS SUKABUMI);D4;53,84615385;21;39;719,22;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI HASIL HUTAN;S1;9,836065574;30;305;606,92;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI HASIL PERAIRAN;S1;13,76146789;30;218;604,94;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI HASIL TERNAK;S1;10,30927835;30;291;635,34;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI PANGAN;S1;3,892215569;39;1002;657,46;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI PRODUKSI DAN MANAJEMEN PERKEBUNAN;D4;34,04255319;32;94;665,4;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI PRODUKSI DAN PENGEMBANGAN MASYARAKAT PERTANIAN;D4;26,92307692;21;78;657,03;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI PRODUKSI TERNAK;S1;12,8113879;36;281;712,67;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI REKAYASA KOMPUTER;D4;19,90521327;42;211;687,94;TRUE
INSTITUT PERTANIAN BOGOR;TEKNOLOGI REKAYASA PERANGKAT LUNAK;D4;9,417040359;42;446;750,45;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN – KAMPUS CIREBON (FITB-C);S1;9,223300971;19;206;718,65;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB);S1;13,50135014;150;1111;762,48;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS ILMU DAN TEKNOLOGI KEBUMIAN (FITB);S1;13,50135014;150;1111;762,48;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM – IPA (FMIPA-IPA);S1;17,58241758;112;637;744,7;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS MATEMATIKA DAN ILMU PENGETAHUAN ALAM – MATEMATIKA (FMIPA-M);S1;8,229813665;53;644;758,32;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS SENIRUPA DAN DESAIN – KAMPUS CIREBON (FSRD-C);S1;44,30379747;70;158;702,32;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS SENIRUPA DAN DESAIN (FSRD);S1;7,135250266;134;1878;791,61;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS TEKNIK MESIN DAN DIRGANTARA (FTMD);S1;6,99790063;100;1429;776,48;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN – KAMPUS CIREBON (FTTM-C);S1;5,76184379;45;781;633,09;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS TEKNIK PERTAMBANGAN DAN PERMINYAKAN (FTTM);S1;4,606456293;127;2757;844,83;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN – INFRASTRUKTUR SIPIL DAN KELAUTAN (FTSL-SI);S1;7,380073801;100;1355;766,34;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS TEKNIK SIPIL DAN LINGKUNGAN – TEKNOLOGI LINGKUNGAN (FTSL-L);S1;5,759682224;58;1007;749,66;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS TEKNOLOGI INDUSTRI – KAMPUS CIREBON (FTI-C);S1;6,25;20;320;720,89;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS TEKNOLOGI INDUSTRI – REKAYASA INDUSTRI (FTI-RI);S1;4,955320877;61;1231;743,26;TRUE
INSTITUT TEKNOLOGI BANDUNG;FAKULTAS TEKNOLOGI INDUSTRI – SISTEM DAN PROSES (FTI-SP);S1;10,16365202;118;1161;736,16;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN – KAMPUS CIREBON (SAPPK-C);S1;7,380073801;20;271;772,93;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH ARSITEKTUR, PERENCANAAN DAN PENGEMBANGAN KEBIJAKAN (SAPPK);S1;4,620203602;59;1277;719,54;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH BISNIS DAN MANAJEMEN – KAMPUS CIREBON (SBM-C);S1;4,545454545;15;330;728,54;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH BISNIS DAN MANAJEMEN (SBM);S1;3,78214826;100;2644;815,77;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH FARMASI (SF);S1;5,160142349;58;1124;683,68;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH ILMU DAN TEKNOLOGI HAYATI – KAMPUS CIREBON (SITH-C);S1;26,31578947;15;57;734,47;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH ILMU DAN TEKNOLOGI HAYATI – REKAYASA (SITH-R);S1;11,79173047;77;653;732,94;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH ILMU DAN TEKNOLOGI HAYATI – SAINS (SITH-S);S1;13,1147541;56;427;727,77;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA – KOMPUTASI (STEI-K);S1;2,338877339;90;3848;858,87;TRUE
INSTITUT TEKNOLOGI BANDUNG;SEKOLAH TEKNIK ELEKTRO DAN INFORMATIKA – REKAYASA (STEI-R);S1;8,091993186;95;1174;775,45;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;ARSITEKTUR;S1;39,82300885;45;113;546,58;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;BISNIS DIGITAL;S1;23,29749104;65;279;578,98;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;DESAIN KOMUNIKASI VISUAL;S1;71,42857143;45;63;525,58;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;FISIKA;S1;307,6923077;40;13;501;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;ILMU AKTUARIA;S1;89,18918919;33;37;511,89;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;INFORMATIKA;S1;18,57585139;60;323;596,08;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;MATEMATIKA;S1;233,3333333;35;15;501,09;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;PERENCANAAN WILAYAH DAN KOTA;S1;29,55665025;60;203;568,77;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;REKAYASA KESELAMATAN;S1;17,03163017;70;411;591,8;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;SISTEM INFORMASI;S1;21,42857143;66;308;572,95;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;STATISTIKA;S1;71,11111111;32;45;503,62;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK ELEKTRO;S1;33,49282297;70;209;550,8;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK INDUSTRI;S1;13,55932203;40;295;577,12;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK KELAUTAN;S1;68,62745098;35;51;503,41;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK KIMIA;S1;53,39805825;55;103;523,35;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK LINGKUNGAN;S1;30,55555556;55;180;571,65;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK LOGISTIK;S1;50,92592593;55;108;557,97;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK MATERIAL DAN METALURGI;S1;37,41496599;55;147;563,42;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK MESIN;S1;31,25;75;240;565,85;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK PERKAPALAN;S1;50;50;100;514,42;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNIK SIPIL;S1;26,50176678;75;283;575,5;TRUE
INSTITUT TEKNOLOGI KALIMANTAN;TEKNOLOGI PANGAN;S1;50;55;110;547,31;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;ARSITEKTUR;S1;5,179856115;36;695;660,33;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;BIOLOGI;S1;26,08695652;48;184;631,48;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;DESAIN INTERIOR;S1;17,39130435;36;207;611,9;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;DESAIN KOMUNIKASI VISUAL;S1;7,373271889;48;651;631,14;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;DESAIN PRODUK INDUSTRI;S1;23,41463415;48;205;610,73;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;FISIKA;S1;54,4;68;125;624,08;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;KEDOKTERAN;S1;2,873563218;15;522;692,24;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;KIMIA;S1;49,0797546;80;163;635,54;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;MANAJEMEN BISNIS;S1;4,240282686;36;849;777,37;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;MATEMATIKA;S1;33,47280335;80;239;643,76;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;PERENCANAAN WILAYAH DAN KOTA;S1;9,123434705;51;559;644,58;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;REKAYASA KECERDASAN ARTIFISIAL;S1;3,68852459;18;488;663,21;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;REKAYASA PERANGKAT LUNAK;S1;5,882352941;18;306;642,26;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;SAINS AKTUARIA;S1;8,181818182;36;440;672,43;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;SAINS ANALITIK DAN INSTRUMENTASI KIMIA;S1;31,03448276;18;58;676,61;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;SAINS DATA;S1;3,833865815;12;313;643,67;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;SISTEM INFORMASI;S1;5,215004575;57;1093;669,85;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;STATISTIKA;S1;10,60070671;60;566;659,15;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;STATISTIKA BISNIS;D4;26;52;200;725,94;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;STUDI PEMBANGUNAN;S1;18,18181818;54;297;744,24;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK SIST PERKAPALAN (GLR GANDA ITS-JERMAN);S1;16,66666667;18;108;698,19;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK BIOMEDIK;S1;10,08403361;36;357;657,05;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK ELEKTRO;S1;8,520710059;72;845;665,03;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK FISIKA;S1;33,89830508;80;236;650,02;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK GEOFISIKA;S1;10,97560976;27;246;643,2;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK GEOMATIKA;S1;13,68421053;39;285;632,72;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK INDUSTRI;S1;5,741626794;60;1045;667,42;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK INFORMATIKA;S1;3,259604191;84;2577;791,99;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK KELAUTAN;S1;10,05586592;36;358;640,41;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK KIMIA;S1;10,58201058;60;567;669,82;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK KOMPUTER;S1;7,99086758;35;438;653,27;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK LEPAS PANTAI;S1;23,52941176;24;102;694,92;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK LINGKUNGAN;S1;7,815631263;39;499;648;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK MATERIAL;S1;7,444168734;60;806;648,4;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK MESIN;S1;6,944444444;60;864;659,35;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK PANGAN;S1;12,37113402;24;194;721,63;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK PERKAPALAN;S1;9,32642487;36;386;634,62;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK SIPIL;D4;10,43478261;36;345;751,92;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK SIPIL;S1;5,800214823;54;931;785,58;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK SISTEM PERKAPALAN;S1;12,68882175;42;331;646,44;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK TELEKOMUNIKASI;S1;13,04347826;24;184;716,46;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNIK TRANSPORTASI LAUT;S1;16,10738255;24;149;624,98;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNOLOGI INFORMASI;S1;7,56302521;36;476;659,18;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNOLOGI KEDOKTERAN;S1;6,569343066;36;548;761,22;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNOLOGI REKAYASA INSTRUMENTASI;D4;50;52;104;698,09;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNOLOGI REKAYASA KIMIA INDUSTRI;D4;37,41007194;52;139;704,29;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNOLOGI REKAYASA KONSTRUKSI BANGUNAN AIR;D4;52,94117647;36;68;684,74;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNOLOGI REKAYASA KONVERSI ENERGI;D4;55,38461538;36;65;683,53;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNOLOGI REKAYASA MANUFAKTUR;D4;36,73469388;36;98;691,62;TRUE
INSTITUT TEKNOLOGI SEPULUH NOPEMBER;TEKNOLOGI REKAYASA OTOMASI;D4;43,69747899;52;119;698,57;TRUE
INSTITUT TEKNOLOGI SUMATERA;ARSITEKTUR;S1;99;99;100;606,71;TRUE
INSTITUT TEKNOLOGI SUMATERA;ARSITEKTUR LANSKAP;S1;260;65;25;551,91;TRUE
INSTITUT TEKNOLOGI SUMATERA;BIOLOGI;S1;69,14893617;65;94;589,01;TRUE
INSTITUT TEKNOLOGI SUMATERA;DESAIN KOMUNIKASI VISUAL;S1;32,81853282;85;259;626,24;TRUE
INSTITUT TEKNOLOGI SUMATERA;FARMASI;S1;9,104704097;120;1318;705,88;TRUE
INSTITUT TEKNOLOGI SUMATERA;FISIKA;S1;124;62;50;560,39;TRUE
INSTITUT TEKNOLOGI SUMATERA;KIMIA;S1;95,58823529;65;68;574,84;TRUE
INSTITUT TEKNOLOGI SUMATERA;MATEMATIKA;S1;78,31325301;65;83;593,38;TRUE
INSTITUT TEKNOLOGI SUMATERA;PARIWISATA;S1;11,07954545;39;352;675,49;TRUE
INSTITUT TEKNOLOGI SUMATERA;PERENCANAAN WILAYAH DAN KOTA;S1;30,95238095;143;462;685,69;TRUE
INSTITUT TEKNOLOGI SUMATERA;REKAYASA INSTRUMENTASI DAN AUTOMASI;S1;89,47368421;68;76;558,09;TRUE
INSTITUT TEKNOLOGI SUMATERA;REKAYASA KEHUTANAN;S1;68;85;125;598,79;TRUE
INSTITUT TEKNOLOGI SUMATERA;REKAYASA KEOLAHRAGAAN;S1;102,2222222;46;45;588,72;TRUE
INSTITUT TEKNOLOGI SUMATERA;REKAYASA KOSMETIK;S1;20,1183432;68;338;672,18;TRUE
INSTITUT TEKNOLOGI SUMATERA;REKAYASA MINYAK DAN GAS;S1;37,1257485;62;167;590,01;TRUE
INSTITUT TEKNOLOGI SUMATERA;REKAYASA TATA KELOLA AIR TERPADU;S1;93,42105263;71;76;563,81;TRUE
INSTITUT TEKNOLOGI SUMATERA;SAINS AKTUARIA;S1;36,7965368;85;231;653,81;TRUE
INSTITUT TEKNOLOGI SUMATERA;SAINS ATMOSFIR DAN KEPLANETAN;S1;103,0769231;67;65;572,03;TRUE
INSTITUT TEKNOLOGI SUMATERA;SAINS DATA;S1;23,35164835;85;364;684,53;TRUE
INSTITUT TEKNOLOGI SUMATERA;SAINS LINGKUNGAN KELAUTAN;S1;71,92982456;41;57;562,42;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK BIOMEDIS;S1;22,48803828;94;418;689,08;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK BIOSISTEM;S1;89,15662651;74;83;567;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK ELEKTRO;S1;35,66878981;112;314;682,4;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK FISIKA;S1;97,5;78;80;561,75;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK GEOFISIKA;S1;76,30057803;132;173;612,56;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK GEOLOGI;S1;28,32167832;81;286;619,12;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK GEOMATIKA;S1;71,42857143;85;119;613,61;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK INDUSTRI;S1;15,52238806;104;670;694,06;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK INFORMATIKA;S1;13,08325709;143;1093;704,86;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK KELAUTAN;S1;38,92215569;65;167;599,79;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK KIMIA;S1;64,33121019;101;157;618,46;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK LINGKUNGAN;S1;34,38596491;98;285;682,35;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK MATERIAL;S1;75,70093458;81;107;582,66;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK MESIN;S1;27,27272727;78;286;653,06;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK PERKERETAAPIAN;S1;16,20879121;59;364;654,98;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK PERTAMBANGAN;S1;12,109375;124;1024;700,99;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK SIPIL;S1;22,36628849;138;617;696,01;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK SISTEM ENERGI;S1;66,33663366;67;101;566,27;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNIK TELEKOMUNIKASI;S1;29,43722944;68;231;622,42;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNOLOGI INDUSTRI PERTANIAN;S1;32,94573643;85;258;670,74;TRUE
INSTITUT TEKNOLOGI SUMATERA;TEKNOLOGI PANGAN;S1;29,34131737;98;334;687,42;TRUE
UNIVERSITAS AIRLANGGA;ADMINISTRASI PUBLIK;S1;7,094594595;42;592;700,78;TRUE
UNIVERSITAS AIRLANGGA;AKUAKULTUR;S1;33,8028169;72;213;670,89;TRUE
UNIVERSITAS AIRLANGGA;AKUAKULTUR (FIKKIA BANYUWANGI);S1;83,33333333;30;36;657,55;TRUE
UNIVERSITAS AIRLANGGA;AKUNTANSI;D3;42,62295082;52;122;663,2;TRUE
UNIVERSITAS AIRLANGGA;AKUNTANSI;S1;6,239600666;75;1202;664,24;TRUE
UNIVERSITAS AIRLANGGA;ANTROPOLOGI;S1;17,31601732;40;231;671,75;TRUE
UNIVERSITAS AIRLANGGA;BAHASA DAN SASTRA INDONESIA;S1;13,95348837;42;301;678,77;TRUE
UNIVERSITAS AIRLANGGA;BAHASA DAN SASTRA INGGRIS;S1;12,15559157;75;617;702,87;TRUE
UNIVERSITAS AIRLANGGA;BAHASA INGGRIS;D3;64,28571429;27;42;658,06;TRUE
UNIVERSITAS AIRLANGGA;BIOLOGI;S1;22,37762238;32;143;615,27;TRUE
UNIVERSITAS AIRLANGGA;DESTINASI PARIWISATA;D4;17,46031746;33;189;666,62;TRUE
UNIVERSITAS AIRLANGGA;EKONOMI ISLAM;S1;15,73033708;70;445;692,71;TRUE
